Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala;turno_tipo;necessita_sala;turma_ano;turma_num;turma_regime;sala_edificio;Dia_dt;num_sequencia;aula_id;Dia_iso
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;18:00:00;19:30:00;19/09/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-09-19;1;00010T02_19092022;2022-09-19
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;19:30:00;21:00:00;19/09/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-09-19;2;00010T02_19092022;2022-09-19
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;18:00:00;19:30:00;26/09/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-09-26;3;00010T02_26092022;2022-09-26
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;19:30:00;21:00:00;26/09/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-09-26;4;00010T02_26092022;2022-09-26
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;18:00:00;19:30:00;03/10/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-10-03;5;00010T02_03102022;2022-10-03
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;19:30:00;21:00:00;03/10/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-10-03;6;00010T02_03102022;2022-10-03
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;18:00:00;19:30:00;10/10/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-10-10;7;00010T02_10102022;2022-10-10
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T02;METI-PL-A1;31;Seg;19:30:00;21:00:00;10/10/2022;Sala Aulas Mestrado;Auditório Afonso de Barros;80.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Pos-Laboral;Audit;2022-10-10;8;00010T02_10102022;2022-10-10
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;14:30:00;16:00:00;22/09/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-09-22;1;00010T03_22092022;2022-09-22
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T03;MEI-A1;39;Qui;13:00:00;14:30:00;22/09/2022;Sala Aulas Mestrado;C3.02;38.0;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;T;True;1.0;1.0;Diurno;C;2022-09-22;2;00010T03_22092022;2022-09-22
